Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,Link
Sidney Moncrief,26,MIL,19.0,19.0,76,0.250,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198,1984,/players/m/moncrsi01.html
Mark Eaton,27,UTA,14.0,14.0,76,0.184,82,26.1,5.6,7.3,1.4,0.3,4.3,.466,.000,.593,3.7,.084,1984,/players/e/eatonma01.html
Dennis Johnson,29,BOS,7.0,7.0,76,0.092,80,33.3,13.2,3.5,4.2,1.2,0.7,.437,.125,.852,5.7,.102,1984,/players/j/johnsde01.html
Maurice Cheeks,27,PHI,5.0,5.0,76,0.066,75,33.3,12.7,2.7,6.4,2.3,0.3,.550,.400,.733,7.3,.141,1984,/players/c/cheekma01.html
Michael Cooper,27,LAL,5.0,5.0,76,0.066,82,29.1,9.0,3.2,5.9,1.4,0.8,.497,.314,.838,6.5,.130,1984,/players/c/coopemi01.html
Bobby Jones,32,PHI,5.0,5.0,76,0.066,75,23.5,8.3,4.3,2.5,1.4,1.4,.523,.000,.784,6.0,.163,1984,/players/j/jonesbo01.html
T.R. Dunn,28,DEN,4.0,4.0,76,0.053,80,33.8,5.7,7.2,2.9,2.2,0.4,.470,.000,.731,4.1,.073,1984,/players/d/dunntr01.html
Rickey Green,29,UTA,3.0,3.0,76,0.039,81,34.2,13.2,2.8,9.2,2.7,0.2,.486,.118,.821,7.9,.138,1984,/players/g/greenri01.html
Larry Nance,24,PHO,2.0,2.0,76,0.026,82,35.4,17.7,8.3,2.6,1.0,2.1,.576,.000,.707,9.8,.163,1984,/players/n/nancela01.html
Calvin Natt,27,POR,2.0,2.0,76,0.026,79,33.4,16.2,6.0,2.3,0.9,0.3,.583,.118,.797,8.4,.154,1984,/players/n/nattca01.html
Rory Sparrow,25,NYK,2.0,2.0,76,0.026,79,30.8,10.4,2.4,6.8,1.3,0.1,.474,.256,.824,4.2,.083,1984,/players/s/sparrro01.html
Larry Bird,27,BOS,1.0,1.0,76,0.013,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215,1984,/players/b/birdla01.html
Magic Johnson,24,LAL,1.0,1.0,76,0.013,67,38.3,17.6,7.3,13.1,2.2,0.7,.565,.207,.810,10.2,.191,1984,/players/j/johnsma02.html
Bill Laimbeer,26,DET,1.0,1.0,76,0.013,82,34.9,17.3,12.2,1.8,0.6,1.0,.530,.000,.866,10.8,.181,1984,/players/l/laimbbi01.html
Moses Malone,28,PHI,1.0,1.0,76,0.013,71,36.8,22.7,13.4,1.4,1.0,1.5,.483,.000,.750,9.5,.175,1984,/players/m/malonmo01.html
Tree Rollins,28,ATL,1.0,1.0,76,0.013,77,30.5,8.6,7.7,0.8,0.5,3.6,.518,,.621,5.5,.113,1984,/players/r/rollitr01.html
Lonnie Shelton,28,CLE,1.0,1.0,76,0.013,79,26.6,10.8,4.8,2.3,1.0,0.7,.476,.200,.764,2.1,.048,1984,/players/s/sheltlo01.html
Mychal Thompson,29,POR,1.0,1.0,76,0.013,79,33.5,15.7,8.7,3.9,1.1,1.4,.524,.000,.667,6.9,.125,1984,/players/t/thompmy01.html
